taxonomy [%],taxa [%],GSP T0,So-Sp T0,Sp T0,So T0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia terrae,Gordonia terrae,0.021264315,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia brasiliensis,Nocardia brasiliensis,0.022479419,0,0,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia salmonicida,Nocardia salmonicida,0.005467967,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia sp.,Nocardia sp.,0.023086971,0.018792283,0.028489291,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia transvalensis,Nocardia transvalensis,0.001822656,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis,Rhodococcus erythropolis,0.004860415,0,0.033669162,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus fascians,Rhodococcus fascians,0.004252863,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus hoagii,Rhodococcus hoagii,0.003645311,0.025056377,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus jostii,Rhodococcus jostii,0.002430207,0,0.007769807,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus opacus,Rhodococcus opacus,0.006683071,0,0.119137033,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp.,Rhodococcus sp.,0.037668216,0.16286645,0.088057807,0.083942919
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus triatomae,Rhodococcus triatomae,0.007898174,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Smaragdicoccus;Smaragdicoccus niigatensis,Smaragdicoccus niigatensis,0,0,0.010359742,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;Williamsia muralis,Williamsia muralis,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;Williamsia sp.,Williamsia sp.,0.009113278,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;Acidothermus sp.,Acidothermus sp.,0.026732282,0.200451015,0.098417549,0.10792661
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium sp.,Cryptosporangium sp.,0.006075519,0.068905036,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp.,Frankia sp.,0.006075519,0.018792283,0,0.06595515
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans endophyticus,Jatrophihabitans endophyticus,0.011543486,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans sp.,Jatrophihabitans sp.,0.052857013,0.025056377,0.064748388,0.041971459
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Kaistibacter ginsenosidimutans,Kaistibacter ginsenosidimutans,0.001822656,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Antricoccus;Antricoccus sp.,Antricoccus sp.,0.014581245,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus aggregatus,Blastococcus aggregatus,0.847534858,0.532448008,0.116547098,0.305792061
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus endophyticus,Blastococcus endophyticus,0.218111121,0.081433225,0.012949678,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus jejuensis,Blastococcus jejuensis,0.301953279,0,0.067338323,0.047967382
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus saxobsidens,Blastococcus saxobsidens,0.119687718,0.031320471,0,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus sp.,Blastococcus sp.,4.226738358,3.708343773,1.388205434,2.752128553
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus daqingensis,Geodermatophilus daqingensis,0.018226556,0,0.038849033,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus nigrescens,Geodermatophilus nigrescens,0.006683071,0,0,0
