taxonomy [copies/gr],taxa [copies/gr],DTN00I,DTN00J,DTN00K,DTN00L
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia brasiliensis,Nocardia brasiliensis,448004,0,0,90480
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia salmonicida,Nocardia salmonicida,108975,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia sp.,Nocardia sp.,460111,1008269,374738,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia transvalensis,Nocardia transvalensis,36325,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis,Rhodococcus erythropolis,96864,0,442872,90480
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus fascians,Rhodococcus fascians,84757,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus hoagii,Rhodococcus hoagii,72650,1344359,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus jostii,Rhodococcus jostii,48432,0,102200,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus opacus,Rhodococcus opacus,133189,0,1567090,90480
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp.,Rhodococcus sp.,750707,8738321,1158283,422247
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus triatomae,Rhodococcus triatomae,157407,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Smaragdicoccus;Smaragdicoccus niigatensis,Smaragdicoccus niigatensis,0,0,136269,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;Williamsia muralis,Williamsia muralis,48432,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;Williamsia sp.,Williamsia sp.,181621,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;Acidothermus sp.,Acidothermus sp.,532761,10754855,1294552,542887
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium sp.,Cryptosporangium sp.,121082,3696983,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp.,Frankia sp.,121082,1008269,0,331763
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans endophyticus,Jatrophihabitans endophyticus,230057,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans sp.,Jatrophihabitans sp.,1053411,1344359,851679,211123
